Railcard,Payment Method,Departure Station,Price,Refund Request
None,Credit Card,London St Pancras,16,Yes
None,Debit Card,Birmingham New Street,41,No
None,Credit Card,Birmingham New Street,13,No
Adult,Credit Card,London St Pancras,11,No
None,Credit Card,Birmingham New Street,10,No
None,Credit Card,London Paddington,25,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,Birmingham New Street,13,No
Disabled,Credit Card,London Euston,4,No
Adult,Credit Card,London Euston,4,No
Adult,Credit Card,London Euston,4,No
Adult,Credit Card,London Euston,4,No
None,Credit Card,Liverpool Lime Street,3,No
Adult,Contactless,London Paddington,8,No
None,Credit Card,Manchester Piccadilly,14,No
None,Credit Card,Manchester Piccadilly,4,No
Adult,Credit Card,Birmingham New Street,4,Yes
Senior,Credit Card,London St Pancras,31,No
Senior,Credit Card,Manchester Piccadilly,3,No
Senior,Credit Card,London St Pancras,31,No
None,Contactless,Liverpool Lime Street,76,No
None,Contactless,Manchester Piccadilly,3,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London Euston,10,No
None,Credit Card,Manchester Piccadilly,4,No
Disabled,Contactless,London St Pancras,5,No
None,Credit Card,London Kings Cross,35,No
None,Contactless,London Euston,107,No
None,Contactless,Liverpool Lime Street,3,No
None,Contactless,Reading,13,No
None,Credit Card,London Kings Cross,35,No
Senior,Credit Card,London St Pancras,16,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Contactless,London Euston,10,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Credit Card,Manchester Piccadilly,3,No
Adult,Credit Card,London Euston,4,No
None,Credit Card,London Euston,10,No
Adult,Contactless,Birmingham New Street,13,No
Adult,Credit Card,Liverpool Lime Street,3,No
Adult,Credit Card,Liverpool Lime Street,3,No
Adult,Contactless,Birmingham New Street,33,No
Adult,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London St Pancras,8,No
None,Contactless,Manchester Piccadilly,3,No
None,Credit Card,London Paddington,13,No
None,Contactless,London Kings Cross,35,Yes
None,Credit Card,London Paddington,13,No
None,Credit Card,Manchester Piccadilly,3,No
Senior,Debit Card,London Paddington,8,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,Birmingham New Street,5,No
None,Credit Card,London St Pancras,54,No
None,Contactless,Manchester Piccadilly,3,No
None,Credit Card,Birmingham New Street,1,No
Adult,Credit Card,London St Pancras,5,No
Adult,Credit Card,London Euston,72,No
None,Credit Card,London Paddington,19,No
Adult,Credit Card,London Euston,72,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,London Kings Cross,53,No
Senior,Contactless,Birmingham New Street,14,Yes
None,Credit Card,London Paddington,13,No
None,Credit Card,Liverpool Lime Street,3,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Contactless,London St Pancras,8,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Paddington,13,No
Adult,Credit Card,London Euston,48,No
Adult,Credit Card,London Euston,48,No
Adult,Credit Card,London Euston,48,No
Adult,Contactless,Liverpool Lime Street,10,No
None,Contactless,Manchester Piccadilly,14,No
Adult,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,London Paddington,19,No
None,Contactless,London Kings Cross,53,No
Disabled,Contactless,London Kings Cross,48,No
None,Credit Card,Liverpool Lime Street,5,No
None,Credit Card,London Paddington,13,No
None,Contactless,London Kings Cross,53,No
Disabled,Contactless,London Kings Cross,23,No
Disabled,Contactless,London Kings Cross,35,No
Adult,Contactless,Manchester Piccadilly,2,No
Adult,Contactless,Manchester Piccadilly,2,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,London Euston,7,No
None,Credit Card,Manchester Piccadilly,126,No
None,Credit Card,Manchester Piccadilly,4,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Manchester Piccadilly,4,No
None,Credit Card,London Kings Cross,53,No
None,Contactless,London Paddington,19,No
Adult,Contactless,London Euston,7,No
None,Credit Card,Birmingham New Street,33,No
None,Contactless,London St Pancras,12,No
None,Contactless,London St Pancras,12,No
None,Credit Card,Manchester Piccadilly,3,Yes
None,Contactless,London Kings Cross,65,No
None,Credit Card,Manchester Piccadilly,86,No
None,Credit Card,Manchester Piccadilly,12,No
None,Contactless,London Kings Cross,53,No
Adult,Contactless,London Kings Cross,65,No
Adult,Contactless,London Euston,72,No
Adult,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Euston,7,No
None,Credit Card,Liverpool Lime Street,3,No
Senior,Contactless,Liverpool Lime Street,2,No
None,Credit Card,London Euston,7,No
Senior,Credit Card,Manchester Piccadilly,3,No
None,Contactless,London Kings Cross,70,No
Senior,Debit Card,London Paddington,17,No
Disabled,Credit Card,Birmingham New Street,29,No
None,Credit Card,London Euston,13,No
Adult,Credit Card,London Euston,69,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,Birmingham New Street,10,No
None,Contactless,London Euston,13,No
None,Contactless,London Kings Cross,70,No
Disabled,Credit Card,Birmingham New Street,29,No
Disabled,Credit Card,Birmingham New Street,29,No
None,Credit Card,London St Pancras,16,No
None,Contactless,London St Pancras,16,No
None,Contactless,Manchester Piccadilly,3,No
None,Contactless,Manchester Piccadilly,3,No
None,Contactless,London Paddington,25,No
Adult,Contactless,London Euston,4,No
Adult,Contactless,London Euston,35,No
Adult,Contactless,London Euston,4,No
None,Contactless,London Paddington,25,Yes
None,Credit Card,York,67,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Reading,18,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,Reading,18,No
None,Credit Card,Reading,18,Yes
None,Contactless,London Kings Cross,35,No
Disabled,Credit Card,London St Pancras,11,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,Manchester Piccadilly,168,No
Adult,Contactless,London Kings Cross,43,No
None,Credit Card,London Euston,143,No
None,Credit Card,London Kings Cross,114,No
None,Credit Card,London Paddington,35,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Paddington,35,Yes
None,Credit Card,London Paddington,35,No
None,Credit Card,London Paddington,35,No
None,Credit Card,London Paddington,25,No
None,Contactless,Manchester Piccadilly,3,No
None,Contactless,London Paddington,19,No
None,Contactless,London Paddington,19,No
Adult,Contactless,Manchester Piccadilly,10,No
None,Contactless,Manchester Piccadilly,3,No
None,Contactless,London Kings Cross,35,No
Senior,Debit Card,London Paddington,8,No
Senior,Credit Card,Manchester Piccadilly,2,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Contactless,London Kings Cross,35,No
Disabled,Credit Card,Birmingham New Street,39,No
None,Contactless,Manchester Piccadilly,4,No
None,Credit Card,Birmingham New Street,7,No
Disabled,Credit Card,London Paddington,18,No
None,Contactless,London Kings Cross,35,No
Disabled,Credit Card,York,4,No
None,Contactless,Manchester Piccadilly,4,No
Disabled,Credit Card,Birmingham New Street,39,No
Disabled,Credit Card,Birmingham New Street,15,No
None,Credit Card,London Paddington,18,No
None,Credit Card,London Paddington,18,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Paddington,18,No
None,Contactless,Liverpool Lime Street,5,No
None,Credit Card,Liverpool Lime Street,116,No
Disabled,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London Kings Cross,35,No
Disabled,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,Liverpool Lime Street,76,No
None,Contactless,London Kings Cross,53,No
None,Contactless,London Euston,7,No
None,Credit Card,Liverpool Lime Street,118,No
None,Credit Card,Liverpool Lime Street,76,No
Disabled,Credit Card,London Euston,48,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,London Euston,108,No
None,Contactless,Manchester Piccadilly,4,No
Disabled,Credit Card,London Euston,4,No
None,Contactless,London Euston,7,No
None,Credit Card,London Kings Cross,53,No
None,Credit Card,London Euston,10,No
Disabled,Credit Card,London Paddington,13,No
None,Contactless,London Paddington,13,No
None,Contactless,London Paddington,13,No
Senior,Debit Card,London St Pancras,5,No
Disabled,Credit Card,Manchester Piccadilly,3,No
None,Contactless,Liverpool Lime Street,5,No
Disabled,Contactless,London St Pancras,5,Yes
Senior,Contactless,Manchester Piccadilly,2,No
Adult,Debit Card,Liverpool Lime Street,3,Yes
Senior,Debit Card,Manchester Piccadilly,2,No
Disabled,Credit Card,London Paddington,13,No
None,Contactless,London Euston,78,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,London Euston,10,No
Senior,Contactless,Manchester Piccadilly,3,No
Adult,Contactless,London Euston,4,No
None,Credit Card,London Kings Cross,53,No
Disabled,Credit Card,Liverpool Lime Street,2,No
None,Credit Card,London Euston,107,No
None,Contactless,Liverpool Lime Street,13,No
None,Credit Card,London Paddington,41,No
None,Contactless,London St Pancras,8,No
Disabled,Contactless,London Euston,7,No
None,Credit Card,London Kings Cross,35,No
None,Contactless,London Kings Cross,57,No
None,Credit Card,London Paddington,19,No
None,Credit Card,London St Pancras,12,No
None,Credit Card,London St Pancras,12,No
Disabled,Credit Card,London Euston,7,No
None,Contactless,London Paddington,19,No
None,Contactless,Manchester Piccadilly,4,No
None,Credit Card,Manchester Piccadilly,3,No
Adult,Credit Card,London Euston,9,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,London Kings Cross,35,No
Adult,Contactless,Manchester Piccadilly,3,No
Senior,Debit Card,Liverpool Lime Street,78,Yes
None,Credit Card,Liverpool Lime Street,3,No
Adult,Contactless,Manchester Piccadilly,3,No
None,Contactless,Reading,13,No
Adult,Contactless,London Paddington,17,Yes
None,Contactless,London Kings Cross,70,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Euston,13,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Kings Cross,70,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Credit Card,Manchester Piccadilly,5,No
None,Credit Card,Manchester Piccadilly,5,No
None,Credit Card,Reading,59,No
None,Credit Card,Manchester Piccadilly,5,No
None,Debit Card,London St Pancras,16,No
Adult,Credit Card,London Euston,9,No
None,Credit Card,Birmingham New Street,33,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Euston,13,Yes
None,Credit Card,Birmingham New Street,42,No
Senior,Contactless,London Paddington,8,No
None,Credit Card,Birmingham New Street,33,No
Senior,Contactless,London Paddington,8,No
None,Credit Card,London St Pancras,8,No
Disabled,Credit Card,London Euston,4,No
None,Contactless,Reading,66,No
Senior,Credit Card,Liverpool Lime Street,11,No
None,Credit Card,Birmingham New Street,5,No
Adult,Credit Card,London St Pancras,5,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,Birmingham New Street,5,No
Disabled,Credit Card,London Euston,4,No
None,Credit Card,London Paddington,25,No
None,Credit Card,London St Pancras,16,No
Senior,Contactless,Manchester Piccadilly,6,No
Disabled,Debit Card,London Euston,4,No
None,Credit Card,London Kings Cross,35,No
None,Contactless,London Euston,7,No
Disabled,Debit Card,London Euston,35,No
Disabled,Debit Card,London Euston,4,No
Adult,Contactless,Birmingham New Street,7,No
Adult,Contactless,London Paddington,8,No
None,Credit Card,London Euston,7,No
Adult,Contactless,Liverpool Lime Street,6,No
Senior,Credit Card,London St Pancras,31,No
Senior,Credit Card,London St Pancras,31,No
Senior,Credit Card,London St Pancras,31,No
Senior,Credit Card,Manchester Piccadilly,3,No
Senior,Credit Card,Manchester Piccadilly,3,No
None,Contactless,London St Pancras,12,No
Adult,Credit Card,Manchester Piccadilly,3,No
None,Contactless,Liverpool Lime Street,3,No
None,Credit Card,Manchester Piccadilly,4,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Debit Card,London St Pancras,54,No
Senior,Credit Card,Manchester Piccadilly,2,No
Adult,Credit Card,London Euston,35,No
None,Contactless,London Kings Cross,35,Yes
Adult,Credit Card,London Euston,4,No
Adult,Credit Card,London Euston,4,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Euston,10,No
Senior,Credit Card,Liverpool Lime Street,6,No
None,Credit Card,London Euston,72,No
None,Contactless,London Kings Cross,35,No
None,Contactless,London Kings Cross,57,No
None,Contactless,London Paddington,13,No
None,Contactless,London Kings Cross,35,No
Adult,Credit Card,London Euston,72,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,London Paddington,13,No
None,Contactless,London Euston,72,No
Disabled,Contactless,Liverpool Lime Street,2,No
Senior,Credit Card,Liverpool Lime Street,2,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Credit Card,London Euston,7,No
None,Contactless,London St Pancras,8,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London Kings Cross,35,Yes
None,Credit Card,London Kings Cross,57,No
Disabled,Contactless,Liverpool Lime Street,3,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,Manchester Piccadilly,128,No
None,Credit Card,Liverpool Lime Street,5,No
None,Credit Card,Manchester Piccadilly,128,No
Disabled,Contactless,London Kings Cross,24,Yes
None,Credit Card,London Paddington,19,No
Disabled,Contactless,London Kings Cross,24,No
None,Credit Card,Manchester Piccadilly,17,No
None,Credit Card,Liverpool Lime Street,5,No
Disabled,Contactless,Liverpool Lime Street,3,No
None,Credit Card,London Euston,10,No
None,Credit Card,London Paddington,27,No
None,Credit Card,London St Pancras,12,No
None,Credit Card,London St Pancras,8,No
None,Contactless,Reading,19,No
Disabled,Contactless,York,5,No
Disabled,Contactless,York,8,No
Disabled,Contactless,Liverpool Lime Street,2,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Contactless,Manchester Piccadilly,84,No
None,Contactless,Liverpool Lime Street,3,No
None,Credit Card,Manchester Piccadilly,126,No
None,Contactless,Liverpool Lime Street,3,No
None,Contactless,Birmingham New Street,50,No
Adult,Contactless,London Kings Cross,35,No
None,Contactless,London Euston,10,No
None,Credit Card,Liverpool Lime Street,3,No
Adult,Contactless,London Euston,7,No
Adult,Contactless,London Euston,7,No
Adult,Contactless,London Euston,7,No
None,Contactless,London St Pancras,12,No
None,Credit Card,London St Pancras,12,No
None,Credit Card,London Kings Cross,86,No
None,Credit Card,London St Pancras,8,No
None,Contactless,Manchester Piccadilly,10,No
None,Credit Card,Manchester Piccadilly,12,No
None,Credit Card,Liverpool Lime Street,3,No
Disabled,Credit Card,London Euston,4,Yes
None,Credit Card,London Euston,7,No
None,Credit Card,London Euston,7,No
Senior,Debit Card,Manchester Piccadilly,84,Yes
None,Credit Card,Liverpool Lime Street,3,No
Disabled,Credit Card,Liverpool Lime Street,4,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Kings Cross,70,No
Senior,Credit Card,Manchester Piccadilly,13,No
Senior,Debit Card,London Paddington,17,No
Senior,Debit Card,London Paddington,17,No
Senior,Credit Card,Manchester Piccadilly,3,No
Disabled,Credit Card,London St Pancras,43,No
Disabled,Credit Card,Birmingham New Street,29,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,Manchester Piccadilly,84,No
None,Credit Card,York,11,No
None,Contactless,London Euston,7,No
None,Contactless,London Euston,7,No
None,Contactless,London Paddington,25,No
None,Credit Card,Liverpool Lime Street,3,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Birmingham New Street,44,No
Disabled,Credit Card,London Paddington,8,No
None,Contactless,London Paddington,25,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Paddington,13,No
None,Contactless,London St Pancras,8,No
None,Credit Card,Birmingham New Street,22,No
None,Credit Card,York,67,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Kings Cross,35,No
Senior,Contactless,London St Pancras,11,No
None,Contactless,London Paddington,25,No
None,Contactless,Reading,11,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,Liverpool Lime Street,235,No
None,Credit Card,Liverpool Lime Street,235,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,Liverpool Lime Street,151,No
None,Credit Card,Manchester Piccadilly,5,No
Disabled,Credit Card,London Euston,9,No
None,Credit Card,London Paddington,25,No
None,Credit Card,London Paddington,25,No
None,Credit Card,London Paddington,25,Yes
None,Credit Card,London Paddington,25,No
None,Credit Card,London Kings Cross,70,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Paddington,25,No
None,Credit Card,London Paddington,54,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,London Kings Cross,86,No
None,Contactless,Manchester Piccadilly,4,No
Disabled,Contactless,London Kings Cross,48,No
None,Contactless,Manchester Piccadilly,3,No
Disabled,Credit Card,York,22,No
Senior,Debit Card,London Paddington,8,No
None,Credit Card,London Euston,7,No
None,Credit Card,London Kings Cross,57,No
Senior,Credit Card,Manchester Piccadilly,2,No
Senior,Credit Card,Manchester Piccadilly,2,No
Disabled,Credit Card,York,22,No
Senior,Credit Card,Manchester Piccadilly,2,No
Disabled,Credit Card,York,4,No
Disabled,Credit Card,York,4,No
None,Credit Card,Birmingham New Street,7,No
Disabled,Credit Card,Birmingham New Street,15,No
Disabled,Credit Card,Birmingham New Street,15,No
Adult,Credit Card,London Euston,4,No
Disabled,Credit Card,Birmingham New Street,15,No
Disabled,Credit Card,York,4,No
Adult,Credit Card,London Euston,4,No
Adult,Credit Card,London Euston,35,No
None,Contactless,London St Pancras,54,No
None,Credit Card,London Paddington,32,No
None,Credit Card,London Paddington,18,No
None,Credit Card,London Paddington,18,No
None,Credit Card,London Paddington,18,No
None,Contactless,London St Pancras,8,No
None,Credit Card,London Paddington,13,No
Adult,Contactless,London Kings Cross,23,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,Birmingham New Street,22,No
Senior,Contactless,London Euston,4,No
None,Credit Card,York,34,No
None,Credit Card,York,34,No
Senior,Credit Card,Liverpool Lime Street,6,No
None,Credit Card,York,47,Yes
Senior,Contactless,London Euston,7,No
None,Credit Card,Liverpool Lime Street,76,No
None,Contactless,Reading,6,No
None,Credit Card,London Euston,10,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,Liverpool Lime Street,76,No
None,Contactless,Oxford,17,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,Liverpool Lime Street,76,No
None,Credit Card,Liverpool Lime Street,76,No
None,Contactless,London St Pancras,12,No
Adult,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Kings Cross,53,No
Senior,Contactless,London Euston,4,No
None,Contactless,Liverpool Lime Street,77,No
None,Contactless,London Paddington,13,No
None,Credit Card,London Kings Cross,57,No
None,Contactless,London St Pancras,12,No
None,Contactless,London St Pancras,12,No
Adult,Contactless,London Kings Cross,35,No
Senior,Debit Card,Manchester Piccadilly,2,No
None,Contactless,London Paddington,13,No
None,Contactless,Liverpool Lime Street,5,No
None,Contactless,London Paddington,13,No
None,Contactless,London Euston,7,No
None,Contactless,London St Pancras,12,No
None,Contactless,London Kings Cross,53,No
None,Contactless,London Paddington,19,No
None,Contactless,London Euston,78,No
None,Credit Card,Manchester Piccadilly,3,No
None,Contactless,London St Pancras,8,No
None,Credit Card,London St Pancras,54,No
Senior,Credit Card,Oxford,17,Yes
None,Contactless,London Paddington,19,No
Disabled,Contactless,London Euston,35,No
Adult,Credit Card,Manchester Piccadilly,2,No
Disabled,Credit Card,London Paddington,27,No
Disabled,Credit Card,London Kings Cross,35,No
Adult,Credit Card,London St Pancras,54,No
None,Credit Card,London Paddington,19,No
None,Contactless,London St Pancras,8,No
None,Contactless,London Kings Cross,35,No
Disabled,Credit Card,London Euston,7,No
Disabled,Credit Card,London Kings Cross,35,No
Adult,Credit Card,London Euston,9,No
Adult,Credit Card,London Kings Cross,47,No
Adult,Credit Card,London Euston,9,No
Adult,Debit Card,London Euston,69,No
Senior,Contactless,Manchester Piccadilly,2,No
Adult,Contactless,London St Pancras,31,No
Senior,Contactless,Manchester Piccadilly,2,No
Senior,Debit Card,Liverpool Lime Street,50,Yes
Adult,Contactless,Manchester Piccadilly,13,No
Adult,Contactless,Manchester Piccadilly,13,No
None,Credit Card,Reading,13,No
None,Contactless,London Paddington,13,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,Manchester Piccadilly,86,No
None,Contactless,London Kings Cross,70,No
None,Credit Card,Manchester Piccadilly,5,No
None,Contactless,Manchester Piccadilly,5,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,London Kings Cross,70,No
None,Contactless,London Euston,13,No
None,Contactless,London Kings Cross,70,Yes
None,Credit Card,Manchester Piccadilly,5,No
None,Credit Card,Manchester Piccadilly,5,No
None,Credit Card,Manchester Piccadilly,5,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,London Paddington,54,No
None,Contactless,London Paddington,13,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,London Euston,7,No
Disabled,Credit Card,London Euston,4,No
Adult,Contactless,London Euston,4,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,Birmingham New Street,21,No
Disabled,Credit Card,London Euston,4,No
Senior,Credit Card,Liverpool Lime Street,11,No
Senior,Debit Card,Reading,5,No
None,Credit Card,Birmingham New Street,10,No
None,Credit Card,London St Pancras,16,No
None,Credit Card,London Euston,216,No
None,Credit Card,London Paddington,25,No
None,Credit Card,Birmingham New Street,10,No
None,Credit Card,London St Pancras,12,No
None,Contactless,London Euston,7,No
None,Credit Card,London Kings Cross,35,No
Adult,Credit Card,London Kings Cross,23,No
None,Contactless,Manchester Piccadilly,3,No
Adult,Credit Card,London Euston,4,Yes
Adult,Credit Card,London Euston,4,No
None,Credit Card,London Paddington,13,No
Adult,Contactless,London St Pancras,16,No
Adult,Contactless,London St Pancras,16,No
Adult,Contactless,Liverpool Lime Street,6,No
Adult,Debit Card,Liverpool Lime Street,50,Yes
Adult,Credit Card,Liverpool Lime Street,6,No
None,Contactless,London Euston,7,No
Senior,Credit Card,Manchester Piccadilly,3,No
Senior,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,London Paddington,19,No
None,Credit Card,London Euston,7,No
None,Contactless,Birmingham New Street,55,No
None,Credit Card,Manchester Piccadilly,4,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London St Pancras,8,No
Senior,Credit Card,Manchester Piccadilly,2,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Credit Card,London Euston,10,No
Senior,Credit Card,Manchester Piccadilly,2,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,Manchester Piccadilly,3,No
None,Debit Card,London St Pancras,8,No
Adult,Contactless,London St Pancras,8,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Paddington,19,No
Adult,Credit Card,Liverpool Lime Street,2,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Euston,72,No
Senior,Credit Card,Liverpool Lime Street,6,No
None,Credit Card,Birmingham New Street,5,No
None,Credit Card,London St Pancras,54,No
None,Credit Card,Birmingham New Street,5,No
None,Credit Card,London St Pancras,8,No
Adult,Credit Card,London Euston,48,No
None,Credit Card,London St Pancras,8,No
Senior,Credit Card,Liverpool Lime Street,6,No
None,Contactless,London Kings Cross,35,No
None,Contactless,London Kings Cross,35,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Birmingham New Street,7,No
None,Credit Card,London St Pancras,8,No
None,Credit Card,Birmingham New Street,5,No
Adult,Credit Card,London St Pancras,36,No
None,Contactless,Manchester Piccadilly,3,No
None,Credit Card,Birmingham New Street,5,No
None,Credit Card,Birmingham New Street,5,No
None,Contactless,London Kings Cross,57,No
None,Credit Card,London Paddington,19,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Manchester Piccadilly,3,No
None,Credit Card,London Euston,10,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Paddington,13,No
None,Credit Card,London Paddington,13,No
Adult,Credit Card,London Paddington,8,No
Adult,Credit Card,London Paddington,8,No
None,Contactless,Liverpool Lime Street,3,No
Senior,Credit Card,Liverpool Lime Street,2,No
None,Credit Card,Liverpool Lime Street,3,No
Adult,Credit Card,Birmingham New Street,15,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,London Euston,7,No
Adult,Contactless,London Euston,48,No
None,Credit Card,London Paddington,13,No
None,Credit Card,Liverpool Lime Street,3,No
None,Contactless,London Euston,7,No
Disabled,Contactless,Liverpool Lime Street,2,Yes
None,Credit Card,London Euston,7,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,London Paddington,19,No
None,Contactless,London Euston,10,No
None,Credit Card,Liverpool Lime Street,5,No
None,Credit Card,Manchester Piccadilly,17,No
None,Credit Card,Manchester Piccadilly,17,No
Adult,Credit Card,London St Pancras,8,No
Disabled,Contactless,Liverpool Lime Street,3,No
Disabled,Contactless,Liverpool Lime Street,3,No
None,Contactless,London Euston,162,No
None,Credit Card,Liverpool Lime Street,5,No
None,Contactless,Manchester Piccadilly,4,No
None,Credit Card,London Euston,78,No
Disabled,Contactless,York,5,No
Adult,Contactless,London Paddington,27,No
Disabled,Contactless,York,5,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Contactless,Liverpool Lime Street,3,No
Adult,Contactless,Manchester Piccadilly,2,No
None,Credit Card,Liverpool Lime Street,3,No
None,Contactless,London Kings Cross,57,No
None,Credit Card,Liverpool Lime Street,3,No
None,Credit Card,Liverpool Lime Street,5,No
Adult,Contactless,London Euston,7,No
None,Contactless,London Euston,7,No
None,Contactless,London St Pancras,12,No
None,Credit Card,Birmingham New Street,33,No
None,Contactless,London St Pancras,12,No
None,Contactless,Liverpool Lime Street,5,No
None,Contactless,London St Pancras,12,No
None,Contactless,London Kings Cross,35,No
None,Contactless,London Kings Cross,65,No
None,Contactless,York,8,No
None,Credit Card,London Kings Cross,35,No
None,Credit Card,Manchester Piccadilly,12,No
Senior,Contactless,Liverpool Lime Street,2,Yes
Disabled,Credit Card,London Euston,4,No
None,Credit Card,Liverpool Lime Street,10,No
Senior,Debit Card,Liverpool Lime Street,76,Yes
Senior,Debit Card,London Paddington,13,No
None,Contactless,London Kings Cross,53,No
None,Contactless,Manchester Piccadilly,10,No
Senior,Debit Card,London Paddington,13,No
Senior,Credit Card,Manchester Piccadilly,2,No
Senior,Debit Card,London Kings Cross,35,No
Senior,Debit Card,London Paddington,13,No
Disabled,Credit Card,London St Pancras,32,No
None,Credit Card,Manchester Piccadilly,84,No
Disabled,Credit Card,Birmingham New Street,22,No
Disabled,Credit Card,Birmingham New Street,22,No
None,Credit Card,London Euston,10,No
None,Credit Card,London Paddington,19,No
None,Contactless,London St Pancras,12,No
None,Credit Card,Liverpool Lime Street,5,No
None,Contactless,London Paddington,19,No
None,Contactless,London Kings Cross,35,No
None,Contactless,London Kings Cross,35,No
None,Credit Card,Birmingham New Street,88,No
None,Credit Card,London Euston,107,No
None,Contactless,Liverpool Lime Street,5,No
None,Contactless,Liverpool Lime Street,5,No
None,Credit Card,Birmingham New Street,22,No
None,Credit Card,London Kings Cross,53,No
None,Credit Card,London Kings Cross,86,No
None,Credit Card,York,50,No
None,Credit Card,York,50,No
None,Contactless,London St Pancras,8,No
None,Contactless,London Euston,10,No
None,Contactless,Birmingham New Street,8,No
None,Credit Card,Liverpool Lime Street,113,No
None,Credit Card,Liverpool Lime Street,113,No
None,Contactless,London Euston,7,No
Disabled,Credit Card,London Euston,7,No
Disabled,Credit Card,London Paddington,8,No
